Start Time,End Time,SUBNETWORK,SUBNETWORK Name,Average UL Signal Strength(dbm),Average DL Signal Strength(dbm),SDCCH Blocking,SDCCH Dropped call total number,Voice DL Quality (RxQual 0 to 3),UL Quality (RxQual 0 to 3),TCH Drop Rate,CSSR(Doc),TCH total traffic number FR(erl),TCH total traffic number HR(erl),Handover success rate(%),Operator
05/01/2019 20:00:00,05/01/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0225,134.0,0.951,0.9362,0.044,0.965,18.5867,0.3361,0.8144,Mauritel
05/02/2019 20:00:00,05/02/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.02,197.0,0.9476,0.9386,0.0356999999999999,0.9796,3.6811,0.0,0.9643,Mauritel
05/03/2019 20:00:00,05/03/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0161,187.0,0.9426,0.9376,0.0299,0.9727,2.7881,0.0764,0.9706,Mauritel
05/04/2019 20:00:00,05/04/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0124,176.0,0.9385,0.9439,0.0262,0.9949,2.4514,0.8825,0.8172,Mauritel
05/05/2019 20:00:00,05/05/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0262,169.0,0.9301,0.9353,0.0025,0.9975,37.1194,7.6808,0.9462,Mauritel
05/06/2019 20:00:00,05/06/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.039,150.0,0.9429,0.9392,0.0036,0.9986,13.7706,0.1783,0.9893,Mauritel
05/07/2019 20:00:00,05/07/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0162,112.0,0.9472,0.942,0.0042,0.993,28.4389,0.8478,0.9777,Mattel
05/08/2019 20:00:00,05/08/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0357,173.0,0.9396,0.9441,0.004,0.9884,45.5269,2.7558,0.9865,Mattel
05/09/2019 20:00:00,05/09/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.047,142.0,0.9403,0.9432,0.0098,0.9592,2.5933,0.0789,0.9872,Mauritel
05/10/2019 20:00:00,05/10/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0007,144.0,0.9352,0.9392,0.0128,0.9941,8.5006,0.0306,1.0,Mattel
05/11/2019 20:00:00,05/11/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0001,164.0,0.9264,0.9402,0.0042,0.9949,26.2375,0.3392,0.9832,Mattel
05/12/2019 20:00:00,05/12/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0702,150.0,0.9348,0.9396,0.0040999999999999,0.9963,32.6847,2.2736,0.9794,Mattel
05/13/2019 20:00:00,05/13/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0591,149.0,0.9345,0.9432,0.0237999999999999,0.9832,16.0547,0.3817,0.9642,Mattel
05/14/2019 20:00:00,05/14/2019 21:00:00,101.0,NKC BSC2(101),-87.0,-80.0,0.0588,114.0,0.948,0.9406,0.0022,0.9984,44.7403,0.8506,0.9926,Mattel
05/15/2019 20:00:00,05/15/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0606,133.0,0.9447,0.943,0.0019,0.9987,29.0983,1.8553,0.9825,Mattel
05/16/2019 20:00:00,05/16/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0603,143.0,0.9453,0.9364,0.0013,0.9986,10.7239,0.0992,0.9949,Mattel
05/17/2019 20:00:00,05/17/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-80.0,0.0598,163.0,0.9374,0.9364,0.0033,0.9897,47.4694,0.4144,0.9588,Mattel
05/18/2019 20:00:00,05/18/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-80.0,0.0458,146.0,0.9453,0.9422,0.0032,0.9917,53.8661,0.055,0.9664,Mattel
05/19/2019 20:00:00,05/19/2019 21:00:00,101.0,NKC BSC2(101),-87.0,-80.0,0.0328,117.0,0.9517,0.9393,0.0016,0.9945,10.3181,0.0372,0.9709,Mattel
05/20/2019 20:00:00,05/20/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-80.0,0.0158,134.0,0.9424,0.9392,0.0118,0.9858,30.4192,0.0,0.6482,Mauritel
05/21/2019 20:00:00,05/21/2019 21:00:00,101.0,NKC BSC2(101),-87.0,-80.0,0.04,154.0,0.9432,0.9393,0.0087,0.99,17.8175,0.0,0.7839,Mauritel
05/22/2019 20:00:00,05/22/2019 21:00:00,101.0,NKC BSC2(101),-87.0,-80.0,0.0243,150.0,0.9453,0.9427,0.0013,0.9886,77.1414,13.0961,0.9808,Mauritel
05/23/2019 20:00:00,05/23/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0307,164.0,0.9413,0.9429,0.0013,0.9982,88.2417,15.6242,0.9903,Mattel
05/24/2019 20:00:00,05/24/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0322,130.0,0.9402,0.9409,0.001,0.9995,69.4192,74.5253,0.9963,Mattel
05/25/2019 20:00:00,05/25/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0244,158.0,0.9392,0.9444,0.017,0.9772,26.4108,2.4486,0.9786,Mattel
05/26/2019 20:00:00,05/26/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0297,172.0,0.9416,0.9468,0.0283,0.9639,4.5181,46.4906,0.9353,Mattel
05/27/2019 20:00:00,05/27/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.5481,1337.0,0.9483,0.9393,0.0395999999999999,0.978,39.8503,0.6678,0.8968,Mattel
05/28/2019 20:00:00,05/28/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.032,284.0,0.9321,0.9382,0.0209,0.9865,52.3111,2.8244,0.9472,Mattel
05/29/2019 20:00:00,05/29/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0073,243.0,0.9441,0.941,0.0159,0.9656,72.2736,69.3633,0.7872,Mattel
05/30/2019 20:00:00,05/30/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0003,225.0,0.9415,0.9383,0.0258,0.9837,50.8858,5.1114,0.9064,Mattel
05/31/2019 20:00:00,05/31/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-80.0,0.0002,130.0,0.9316,0.9383,0.0060999999999999,0.9935,90.5583,80.8367,0.9794,Mattel
06/01/2019 20:00:00,06/01/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0004,177.0,0.9389,0.9417,0.0268,0.982,59.3189,8.1581,0.9693,Mattel
06/02/2019 20:00:00,06/02/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-80.0,0.0008,158.0,0.9398,0.9411,0.0278,0.9719,32.6889,0.0981,0.9703,Mauritel
06/03/2019 20:00:00,06/03/2019 21:00:00,101.0,NKC BSC2(101),-86.0,-79.0,0.0001,177.0,0.94,0.9436,0.0385,0.9791,16.3956,0.9319,0.9879,Mauritel
