NodeB,fréquences(MHZ),Largeur du canal(MHZ),Fournisseur,Date mise en service,OPERATEUR,Location
NKC015,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2010-08-23,Chinguitel,"18.525867464035876, -8.676247686079547"
NKC095,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2016-03-29,Chinguitel,"19.373245475976173, -10.130624375723102"
PORT_TANIT,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2150,,2019-11-07,Chinguitel,"17.108219461792746, -7.260460790272626"
Nema1,800/900/2100,951.4-943.6;825-870;2145-2155,ZTE,2010-08-23,Chinguitel,"19.77900368101026, -11.054048976719805"
Rosso1,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2016-08-18,Chinguitel,"21.652567221492834, -7.520997887544967"
Kankoussa,800/900,951.4-943.6;825-870,ZTE,2017-02-12,Chinguitel,"21.051658886440435, -8.057167729232335"
NNR9,900,951.4-943.6;825-870,ZTE,2007-08-23,Chinguitel,"21.337119519857882, -11.626814019750515"
NKR10,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Chinguitel,"22.616483647192386, -11.71404130821885"
NNR3,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Chinguitel,"21.236481583056477, -8.299135191768976"
NKC107,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2016-03-15,Chinguitel,"21.165819925685923, -14.553021351012411"
NKC086,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,Nokia,2010-08-23,Chinguitel,"19.876531026437547, -8.77526099559041"
Bousteila,800/900/1800,951.4-943.6;;825-870;1749.8-1844.8,ZTE,2012-11-16,Chinguitel,"18.39941376624126, -10.452694170201271"
NKC019,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2007-08-23,Chinguitel,"22.14878064618873, -9.45350634003752"
NKC103,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2019-03-16,Chinguitel,"20.018983663690673, -9.987633755842676"
Ayoun4,900/2100,951.4-943.6;2145-2155,ZTE,2016-05-22,Chinguitel,"17.402151931793444, -9.471856639509694"
NDB5,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE,2010-08-23,Chinguitel,"16.79657656027836, -10.691749255635777"
le3leybat,900,951.4-943.6,ZTE,2012-05-16,Chinguitel,"18.56090155645277, -12.08148475901611"
NKC091,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2016-03-27,Chinguitel,"17.99550405266713, -10.292759384950038"
sabousri,900,951.4-943.6,ZTE,2016-06-01,Chinguitel,"15.658465171134857, -13.163849680991738"
NRR3,900,951.4-943.6;825-870,ZTE,2007-08-23,Chinguitel,"18.62221376268422, -14.905563338548797"
Atar2,800/900/1800/2100,825-870;951.4-943.6;1749.8-1844.8;2145-2150,ZTE/Nokia,2014-01-19,Chinguitel,"19.8605181845977, -7.358665459020422"
NKC137,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2019-03-19,Chinguitel,"23.765902081620453, -9.834939787179923"
NKC084,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2016-03-16,Chinguitel,"21.688134147408547, -7.8503840229592985"
NDB8,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE,2010-08-23,Chinguitel,"22.440001266600852, -9.853301194841205"
NKC062,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2010-08-23,Chinguitel,"20.35400070733036, -14.494379044309635"
Selibaby2,900/2100,951.4-943.6;2145-2155,ZTE,2010-08-23,Chinguitel,"21.70473154717271, -6.742244672425285"
Timbedra2,900/2100,951.4-943.6;2145-2155,ZTE,2018-02-17,Chinguitel,"24.168742309243676, -10.966394113396056"
Keur_Macene,800/900,951.4-943.6;825-870,ZTE,2017-02-11,Chinguitel,"20.25227176370292, -15.468700347589118"
NKC040,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2007-08-23,Chinguitel,"19.92364027175691, -12.159307611891393"
Tintane1,800/900,951.4-943.6;825-870,ZTE,2010-08-23,Chinguitel,"17.041111291165677, -13.545301512096092"
El_Mabdouwa,900,951.4-943.6,ZTE,2017-05-16,Chinguitel,"19.570103057526982, -10.057726530367983"
NAR10,800/900,951.4-943.6;825-870,ZTE,2011-07-02,Chinguitel,"24.84388389282026, -6.988108177316301"
BA07,900,951.4-943.6,ZTE,2017-04-13,Chinguitel,"20.136826246490713, -12.155244158890843"
NNR6,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Chinguitel,"15.859129678045852, -6.243140200647156"
Legran,900,951.4-943.6,ZTE,2012-05-16,Chinguitel,"19.418707500814676, -8.176974818242561"
Diaguly,900,951.4-943.6,ZTE,2016-01-06,Chinguitel,"21.08559149731422, -14.456188026445847"
Fderik1,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Chinguitel,"21.832798014913607, -7.439462237373755"
NKC046,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2010-08-23,Chinguitel,"19.328648032271687, -15.662461145017316"
NAR3,900,951.4-943.6;825-870,ZTE,2011-07-02,Chinguitel,"17.023560042858453, -12.095219932020486"
NKC106,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,Nokia,2010-08-23,Chinguitel,"21.612224900989503, -8.57052187463898"
Rosso3,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2016-08-16,Chinguitel,"17.010678501564303, -13.049986627763992"
Bareina,800/900/2100,951.4-943.6;825-870;2145-2150,ZTE,2007-08-23,Chinguitel,"22.165047341814354, -11.602156175993024"
NKC121,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,Nokia,2010-08-23,Chinguitel,"20.511184980877417, -13.827918653688101"
NKC139,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2019-03-29,Chinguitel,"18.135847213710218, -10.400113740690703"
KNR10,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Chinguitel,"15.951287030425162, -7.560387568542126"
