NodeB,fréquences(MHZ),Largeur du canal(MHZ),Fournisseur,Date mise en service,OPERATEUR,Location
Tintane2,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2155,ZTE,2016-10-31,Mauritel,"21.6952610884208, -7.637463259934368"
Bouly,900,951.4-943.6,ZTE,2013-05-16,Mauritel,"22.96368901544831, -7.634085764842602"
NKC027,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2007-08-23,Mauritel,"17.42336440570067, -9.1967529507662"
NDB16,900/2100,951.4-943.6;2145-2150,ZTE,2009-08-23,Mauritel,"21.607847228292993, -7.318557274384624"
Mhawdat,800/900,951.4-943.6;825-870,ZTE,2017-02-11,Mauritel,"20.27168258238106, -8.603520187048433"
NKC008,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2010-08-23,Mauritel,"26.01401669802773, -7.171565655412566"
Rosso4,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2011-09-17,Mauritel,"22.837833971121455, -7.956502573448455"
Wampou,900,951.4-943.6,ZTE,2015-05-16,Mauritel,"23.988791862446888, -7.817662445755065"
Eweinat Ezbel,900,951.4-943.6,ZTE,2017-02-17,Mauritel,"22.40191232531683, -7.209867027746922"
Ayoun3,900/2100,951.4-943.6;2145-2155,ZTE,2016-05-21,Mauritel,"19.702757532817213, -14.197669723341745"
Are,900,951.4-943.6,ZTE,2016-05-05,Mauritel,"19.419152302160672, -13.540753756140939"
NDB18,900/2100,951.4-943.6;2145-2150,ZTE,2017-02-16,Mauritel,"25.344389737472344, -10.924085054689714"
BFR1,900,951.4-943.6,ZTE,2010-08-23,Mauritel,"22.991907335520473, -8.09527373795052"
Twil_2,900,951.4-943.6,ZTE,2014-08-16,Mauritel,"25.689914635843692, -6.8219381979880644"
ABR2,900,951.4-943.6,ZTE,2016-05-10,Mauritel,"17.102213963847294, -6.040334684928871"
Mbarra,900/1800,951.4-943.6;1749.8-1844.8,ZTE,2013-05-16,Mauritel,"15.862970646944579, -6.368942369259427"
NKC005,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2012-07-23,Mauritel,"17.96121656462881, -9.284147913541638"
Adel bagrou,800/900/1800,951.4-943.6;;825-870;1749.8-1844.8,ZTE,2016-10-08,Mauritel,"18.165135387285023, -6.131180260553537"
NKC007,800/900/1800/2100,951.4-943.6;;825-870;1749.8-1844.8;2145-2150,ZTE/Nokia,2010-08-23,Mauritel,"22.863716990462436, -7.1984243569448925"
Tmeimichat,900,951.4-943.6,ZTE,2013-07-19,Mauritel,"19.009180120308166, -8.481039623119573"
NKC136,900/1800/2100,951.4-943.6;1749.8-1844.8;2145-2155,ZTE/Nokia,2019-03-29,Mauritel,"19.745952673704238, -8.972267484354322"
KNR4,800/900,951.4-943.6;825-870,ZTE,2017-02-12,Mauritel,"19.39857574733325, -10.734513854300907"
NNR4,800/900,951.4-943.6;825-870,ZTE,2007-08-23,Mauritel,"23.976409792427404, -10.454142503741709"
Zouirat3,900/2100,951.4-943.6;2145-2155,ZTE,2011-10-21,Mauritel,"18.28676146545218, -6.751522501056561"
