Ext-A,Ext-B,coordonnées-A,coordonnées-B,Type-de-liaison,Bande-de-fréquences-et-fréquence-centrale,Largeur-du-canal,Capacité-en-Mb/s,Fournisseur,Date-de-mise-en-service,OPERATEUR,Distance_km
NKC100,NKC049,"20.868605067064166, -8.177566479483021","21.591525927332487, -6.326242392020241",LTE,700 MHz,100,100,ZTE,2015,Mattel,208.1854409270011
NKC049,NKC026,"21.591525927332487, -6.326242392020241","16.884105950098057, -8.054308941080832",5G,1800 MHz,10,1000,NOKIA,2015,Mattel,551.834095101145
NKC026,Kaedi3,"16.884105950098057, -8.054308941080832","19.37095365459426, -7.718447992490692",LTE,3.5 GHz,10,1000,ZTE,2015,Mattel,277.53421879032453
Kaedi3,Kamor1,"19.37095365459426, -7.718447992490692","17.949460265770707, -15.95005241884107",Fiber optic,3.5 GHz,100,20000,ZTE,2015,Mattel,882.4995281367626
Kamor1,NAR7,"17.949460265770707, -15.95005241884107","17.174032363389742, -7.836396332264179",5G,700 MHz,20,1000,NOKIA,2015,Mattel,865.565085846805
NAR7,Chayvat,"17.174032363389742, -7.836396332264179","25.881188123333175, -8.16280178172578",LTE,3.5 GHz,10,100,ZTE,2019,Mattel,964.695584329364
Chayvat,NKC060,"25.881188123333175, -8.16280178172578","16.320967941065955, -7.315789839331977",Fiber optic,700 MHz,20,100,ZTE,2019,Mattel,1062.1499284842962
NKC060,NDB14,"16.320967941065955, -7.315789839331977","18.021942558730395, -13.758422442604918",Fiber optic,3.5 GHz,10,20000,ZTE,2019,Mattel,710.7417337833282
NDB14,NNR8,"18.021942558730395, -13.758422442604918","20.764232787234832, -11.91311626344304",Fiber optic,3.5 GHz,20,20000,NOKIA,2019,Mattel,360.156289729312
NNR8,NKC087,"20.764232787234832, -11.91311626344304","16.142394788509833, -12.204653573682037",5G,700 MHz,20,20000,ZTE,2019,Mattel,512.4986223237597
NKC087,NKR8,"16.142394788509833, -12.204653573682037","22.234949339556664, -9.75836690640366",5G,700 MHz,20,20000,NOKIA,2019,Mattel,721.7657742301989
NKR8,Twila,"22.234949339556664, -9.75836690640366","21.75555802339825, -12.06614192481209",Fiber optic,3.5 GHz,10,1000,ZTE,2019,Mattel,244.1509445429004
Twila,Tiguint,"21.75555802339825, -12.06614192481209","25.42248610672481, -6.58676939292091",5G,700 MHz,20,20000,NOKIA,2019,Mattel,691.0403200478252
Tiguint,NKC031,"25.42248610672481, -6.58676939292091","19.84449286279323, -15.372638675932377",5G,1800 MHz,100,100,ZTE,2019,Mattel,1093.638799906529
NKC031,Djiuenni,"19.84449286279323, -15.372638675932377","23.253134425497077, -10.674064703337763",Fiber optic,1800 MHz,10,1000,ZTE,2019,Mattel,615.7978380720521
Djiuenni,NKC078,"23.253134425497077, -10.674064703337763","18.17874612712307, -7.456910883101553",LTE,1800 MHz,100,100,NOKIA,2019,Mattel,654.0799721531964
NKC078,NKC037,"18.17874612712307, -7.456910883101553","19.370440977842353, -11.599914826168124",5G,1800 MHz,10,100,ZTE,2019,Mattel,456.27203287907713
NKC037,NKC048,"19.370440977842353, -11.599914826168124","17.87748213179362, -8.218930422501986",Fiber optic,700 MHz,20,100,NOKIA,2019,Mattel,393.1777472237391
NKC048,Walata,"17.87748213179362, -8.218930422501986","21.466452371853983, -11.959308279084645",5G,1800 MHz,10,1000,NOKIA,2019,Mattel,558.2222212058913
Walata,NKC114,"21.466452371853983, -11.959308279084645","17.914338109674606, -14.97339078504314",LTE,700 MHz,20,1000,ZTE,2019,Mattel,504.4299253685787
NKC114,NKR5,"17.914338109674606, -14.97339078504314","19.749101744328296, -10.105698815331541",Fiber optic,700 MHz,20,100,NOKIA,2015,Mattel,551.7345942572
NKR5,Maghama-repeater,"19.749101744328296, -10.105698815331541","21.693782213777084, -9.303972584945416",5G,1800 MHz,20,1000,NOKIA,2015,Mattel,230.9285266184778
Maghama-repeater,NKC140,"21.693782213777084, -9.303972584945416","21.308625900090682, -10.650263614471747",LTE,1800 MHz,100,100,NOKIA,2015,Mattel,145.8739173168255
NKC140,NKR4,"21.308625900090682, -10.650263614471747","16.617742401990863, -5.91797157785799",LTE,3.5 GHz,100,1000,NOKIA,2015,Mattel,719.5807630947162
NKR4,Ghabou,"16.617742401990863, -5.91797157785799","17.37760876406068, -10.659361248123925",5G,3.5 GHz,100,100,ZTE,2015,Mattel,511.8355088155259
