Ext-A,Ext-B,coordonnées-A,coordonnées-B,Type-de-liaison,Bande-de-fréquences-et-fréquence-centrale,Largeur-du-canal,Capacité-en-Mb/s,Fournisseur,Date-de-mise-en-service,OPERATEUR,Distance_km
Tintane2,Bouly,"21.6952610884208, -7.637463259934368","22.96368901544831, -7.634085764842602",5G,700 MHz,20,1000,NOKIA,2015,Mauritel,140.45951567175007
Bouly,NKC027,"22.96368901544831, -7.634085764842602","17.42336440570067, -9.1967529507662",Fiber optic,1800 MHz,100,100,NOKIA,2015,Mauritel,634.7052263408339
NKC027,NDB16,"17.42336440570067, -9.1967529507662","21.607847228292993, -7.318557274384624",LTE,700 MHz,10,20000,NOKIA,2015,Mauritel,503.399039811499
NDB16,Mhawdat,"21.607847228292993, -7.318557274384624","20.27168258238106, -8.603520187048433",LTE,3.5 GHz,20,20000,ZTE,2015,Mauritel,199.3647913770336
Mhawdat,NKC008,"20.27168258238106, -8.603520187048433","26.01401669802773, -7.171565655412566",Fiber optic,3.5 GHz,100,20000,ZTE,2015,Mauritel,652.6133369672276
NKC008,Rosso4,"26.01401669802773, -7.171565655412566","22.837833971121455, -7.956502573448455",LTE,700 MHz,20,20000,ZTE,2015,Mauritel,360.6984889280615
Rosso4,Wampou,"22.837833971121455, -7.956502573448455","23.988791862446888, -7.817662445755065",Fiber optic,700 MHz,100,20000,NOKIA,2015,Mauritel,128.25582898096374
Wampou,Eweinat Ezbel,"23.988791862446888, -7.817662445755065","22.40191232531683, -7.209867027746922",Fiber optic,700 MHz,100,1000,NOKIA,2015,Mauritel,186.43085794930283
Eweinat Ezbel,Ayoun3,"22.40191232531683, -7.209867027746922","19.702757532817213, -14.197669723341745",LTE,700 MHz,10,1000,ZTE,2015,Mauritel,785.2087039979401
Ayoun3,Are,"19.702757532817213, -14.197669723341745","19.419152302160672, -13.540753756140939",Fiber optic,700 MHz,100,1000,NOKIA,2015,Mauritel,75.74536857263227
Are,NDB18,"19.419152302160672, -13.540753756140939","25.344389737472344, -10.924085054689714",LTE,3.5 GHz,100,20000,ZTE,2015,Mauritel,709.2488284949867
