Ext-A,Ext-B,coordonnées-A,coordonnées-B,Type-de-liaison,Bande-de-fréquences-et-fréquence-centrale,Largeur-du-canal,Capacité-en-Mb/s,Fournisseur,Date-de-mise-en-service,OPERATEUR
NKC015,NKC095,"18.525867464035876, -8.676247686079547","19.373245475976173, -10.130624375723102",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC095,PORT_TANIT,"19.373245475976173, -10.130624375723102","17.108219461792746, -7.260460790272626",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
PORT_TANIT,Nema1,"17.108219461792746, -7.260460790272626","19.77900368101026, -11.054048976719805",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Nema1,Rosso1,"19.77900368101026, -11.054048976719805","21.652567221492834, -7.520997887544967",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Rosso1,Kankoussa,"21.652567221492834, -7.520997887544967","21.051658886440435, -8.057167729232335",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Kankoussa,NNR9,"21.051658886440435, -8.057167729232335","21.337119519857882, -11.626814019750515",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NNR9,NKR10,"21.337119519857882, -11.626814019750515","22.616483647192386, -11.71404130821885",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKR10,NNR3,"22.616483647192386, -11.71404130821885","21.236481583056477, -8.299135191768976",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NNR3,NKC107,"21.236481583056477, -8.299135191768976","21.165819925685923, -14.553021351012411",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC107,NKC086,"21.165819925685923, -14.553021351012411","19.876531026437547, -8.77526099559041",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
NKC086,Bousteila,"19.876531026437547, -8.77526099559041","18.39941376624126, -10.452694170201271",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
Bousteila,NKC019,"18.39941376624126, -10.452694170201271","22.14878064618873, -9.45350634003752",PDH,7GHZ,IP,96,ZTE,upgrade2016,Chinguitel
