Ext-A,Ext-B,coordonnées-A,coordonnées-B,Type-de-liaison,Bande-de-fréquences-et-fréquence-centrale,Largeur-du-canal,Capacité-en-Mb/s,Fournisseur,Date-de-mise-en-service,OPERATEUR
NKC100,NKC049,"20.868605067064166, -8.177566479483021","21.591525927332487, -6.326242392020241",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC049,NKC026,"21.591525927332487, -6.326242392020241","16.884105950098057, -8.054308941080832",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC026,Kaedi3,"16.884105950098057, -8.054308941080832","19.37095365459426, -7.718447992490692",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Kaedi3,Kamor1,"19.37095365459426, -7.718447992490692","17.949460265770707, -15.95005241884107",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Kamor1,NAR7,"17.949460265770707, -15.95005241884107","17.174032363389742, -7.836396332264179",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NAR7,Chayvat,"17.174032363389742, -7.836396332264179","25.881188123333175, -8.16280178172578",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Chayvat,NKC060,"25.881188123333175, -8.16280178172578","16.320967941065955, -7.315789839331977",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC060,NDB14,"16.320967941065955, -7.315789839331977","18.021942558730395, -13.758422442604918",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NDB14,NNR8,"18.021942558730395, -13.758422442604918","20.764232787234832, -11.91311626344304",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NNR8,NKC087,"20.764232787234832, -11.91311626344304","16.142394788509833, -12.204653573682037",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC087,NKR8,"16.142394788509833, -12.204653573682037","22.234949339556664, -9.75836690640366",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKR8,Twila,"22.234949339556664, -9.75836690640366","21.75555802339825, -12.06614192481209",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Twila,Tiguint,"21.75555802339825, -12.06614192481209","25.42248610672481, -6.58676939292091",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Tiguint,NKC031,"25.42248610672481, -6.58676939292091","19.84449286279323, -15.372638675932377",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC031,Djiuenni,"19.84449286279323, -15.372638675932377","23.253134425497077, -10.674064703337763",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Djiuenni,NKC078,"23.253134425497077, -10.674064703337763","18.17874612712307, -7.456910883101553",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC078,NKC037,"18.17874612712307, -7.456910883101553","19.370440977842353, -11.599914826168124",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC037,NKC048,"19.370440977842353, -11.599914826168124","17.87748213179362, -8.218930422501986",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC048,Walata,"17.87748213179362, -8.218930422501986","21.466452371853983, -11.959308279084645",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Walata,NKC114,"21.466452371853983, -11.959308279084645","17.914338109674606, -14.97339078504314",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC114,NKR5,"17.914338109674606, -14.97339078504314","19.749101744328296, -10.105698815331541",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKR5,Maghama-repeater,"19.749101744328296, -10.105698815331541","21.693782213777084, -9.303972584945416",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Maghama-repeater,NKC140,"21.693782213777084, -9.303972584945416","21.308625900090682, -10.650263614471747",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC140,NKR4,"21.308625900090682, -10.650263614471747","16.617742401990863, -5.91797157785799",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKR4,Ghabou,"16.617742401990863, -5.91797157785799","17.37760876406068, -10.659361248123925",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Ghabou,NKC054,"17.37760876406068, -10.659361248123925","21.374621314589575, -7.773785974949362",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC054,NKC035,"21.374621314589575, -7.773785974949362","15.799204855146808, -5.927201205475237",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC035,Kiffa3,"15.799204855146808, -5.927201205475237","21.155597300921674, -8.141690568641648",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Kiffa3,BA06,"21.155597300921674, -8.141690568641648","19.573441144980848, -12.286600120127705",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
BA06,NRR2,"19.573441144980848, -12.286600120127705","17.55113094676421, -8.06913817132829",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NRR2,Rosso2,"17.55113094676421, -8.06913817132829","22.391512505062472, -7.974449229530565",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Rosso2,NKC083,"22.391512505062472, -7.974449229530565","17.141132661446164, -11.37149498828345",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC083,NKR11,"17.141132661446164, -11.37149498828345","23.975648517218055, -9.857687068769842",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKR11,daw,"23.975648517218055, -9.857687068769842","15.955093234202991, -13.312245657047493",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
daw,Kaedi2,"15.955093234202991, -13.312245657047493","22.271868163662592, -11.931956181982132",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Kaedi2,NNR11,"22.271868163662592, -11.931956181982132","15.823447074466996, -8.931422208743411",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NNR11,NKC053,"15.823447074466996, -8.931422208743411","16.99971430980373, -8.731371960564816",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC053,NKC143,"16.99971430980373, -8.731371960564816","15.839210428502243, -11.340608005829493",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC143,tekan,"15.839210428502243, -11.340608005829493","17.989021037380983, -7.053593189229213",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
tekan,Taziazt,"17.989021037380983, -7.053593189229213","21.19751864883279, -10.384075279459536",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
Taziazt,NKC075,"21.19751864883279, -10.384075279459536","21.948827063879936, -12.060073991620408",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
NKC075,R-Kiz,"21.948827063879936, -12.060073991620408","21.5860981555953, -7.189652658575643",SDH,7GHZ,IP,105,CBNL,upgrade2016,Mattel
