Ext-A,Ext-B,coordonnées-A,coordonnées-B,Type-de-liaison,Bande-de-fréquences-et-fréquence-centrale,Largeur-du-canal,Capacité-en-Mb/s,Fournisseur,Date-de-mise-en-service,OPERATEUR
Tintane2,Bouly,"21.6952610884208, -7.637463259934368","22.96368901544831, -7.634085764842602",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Bouly,NKC027,"22.96368901544831, -7.634085764842602","17.42336440570067, -9.1967529507662",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC027,NDB16,"17.42336440570067, -9.1967529507662","21.607847228292993, -7.318557274384624",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NDB16,Mhawdat,"21.607847228292993, -7.318557274384624","20.27168258238106, -8.603520187048433",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Mhawdat,NKC008,"20.27168258238106, -8.603520187048433","26.01401669802773, -7.171565655412566",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC008,Rosso4,"26.01401669802773, -7.171565655412566","22.837833971121455, -7.956502573448455",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Rosso4,Wampou,"22.837833971121455, -7.956502573448455","23.988791862446888, -7.817662445755065",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Wampou,Eweinat Ezbel,"23.988791862446888, -7.817662445755065","22.40191232531683, -7.209867027746922",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Eweinat Ezbel,Ayoun3,"22.40191232531683, -7.209867027746922","19.702757532817213, -14.197669723341745",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Ayoun3,Are,"19.702757532817213, -14.197669723341745","19.419152302160672, -13.540753756140939",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Are,NDB18,"19.419152302160672, -13.540753756140939","25.344389737472344, -10.924085054689714",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NDB18,BFR1,"25.344389737472344, -10.924085054689714","22.991907335520473, -8.09527373795052",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
BFR1,Twil_2,"22.991907335520473, -8.09527373795052","25.689914635843692, -6.8219381979880644",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Twil_2,ABR2,"25.689914635843692, -6.8219381979880644","17.102213963847294, -6.040334684928871",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
ABR2,Mbarra,"17.102213963847294, -6.040334684928871","15.862970646944579, -6.368942369259427",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Mbarra,NKC005,"15.862970646944579, -6.368942369259427","17.96121656462881, -9.284147913541638",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC005,Adel bagrou,"17.96121656462881, -9.284147913541638","18.165135387285023, -6.131180260553537",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Adel bagrou,NKC007,"18.165135387285023, -6.131180260553537","22.863716990462436, -7.1984243569448925",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC007,Tmeimichat,"22.863716990462436, -7.1984243569448925","19.009180120308166, -8.481039623119573",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Tmeimichat,NKC136,"19.009180120308166, -8.481039623119573","19.745952673704238, -8.972267484354322",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC136,KNR4,"19.745952673704238, -8.972267484354322","19.39857574733325, -10.734513854300907",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
KNR4,NNR4,"19.39857574733325, -10.734513854300907","23.976409792427404, -10.454142503741709",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NNR4,Zouirat3,"23.976409792427404, -10.454142503741709","18.28676146545218, -6.751522501056561",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Zouirat3,Kaedi1,"18.28676146545218, -6.751522501056561","20.29767303375767, -11.14065400855844",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Kaedi1,Oul Mbanny,"20.29767303375767, -11.14065400855844","20.907082092349206, -7.4536024874420175",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Oul Mbanny,NDB3,"20.907082092349206, -7.4536024874420175","16.681330714956257, -11.542882107799077",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NDB3,NKC034,"16.681330714956257, -11.542882107799077","21.347893251255492, -6.918542046324868",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC034,Jouguentourou,"21.347893251255492, -6.918542046324868","18.62540629833567, -11.812250601670575",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Jouguentourou,NRR000,"18.62540629833567, -11.812250601670575","24.536945063358804, -6.971230917492061",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NRR000,Maghama,"24.536945063358804, -6.971230917492061","20.40753797212132, -9.883107375085103",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Maghama,NKC130,"20.40753797212132, -9.883107375085103","24.157562892508174, -11.41008706086339",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC130,NKC044,"24.157562892508174, -11.41008706086339","16.591831481696463, -13.967134643901659",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC044,NKC125,"16.591831481696463, -13.967134643901659","17.079414566165077, -11.321557930099512",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC125,NKC115,"17.079414566165077, -11.321557930099512","25.434910403161766, -10.972910743937781",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC115,NAR12,"25.434910403161766, -10.972910743937781","22.649495309073565, -10.55928230070414",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NAR12,Agweinit,"22.649495309073565, -10.55928230070414","23.769311455968708, -9.993566012311591",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Agweinit,Mata Molana,"23.769311455968708, -9.993566012311591","21.67129236986969, -12.199117842854697",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Mata Molana,Waad Naga,"21.67129236986969, -12.199117842854697","26.11586565862909, -7.083604359932092",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Waad Naga,RKR3,"26.11586565862909, -7.083604359932092","25.99888961810694, -10.441720723945682",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
RKR3,NDB12,"25.99888961810694, -10.441720723945682","18.233654146748393, -14.644659925985994",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NDB12,Amourj Repeater,"18.233654146748393, -14.644659925985994","16.024591851031694, -8.329326157344408",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Amourj Repeater,Bababe,"16.024591851031694, -8.329326157344408","23.898347827066026, -9.67938728846656",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Bababe,NKC051,"23.898347827066026, -9.67938728846656","25.185701078633763, -5.39237254017778",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NKC051,NDB4,"25.185701078633763, -5.39237254017778","21.553822617633905, -10.951503741676596",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
NDB4,Medbougou,"21.553822617633905, -10.951503741676596","16.60467121776604, -15.956818584355723",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
Medbougou,NKC126,"16.60467121776604, -15.956818584355723","19.99311598953017, -15.279438317245814",SDH,1Mbps,STM1,96,NEC,2016,Mauritel
